NumberOfCubes,MinSurface,MaxSurface
1584,816,6338
1585,3814,6342
1586,1882,6346
1587,1334,6350
1588,3184,6354
1589,3646,6358
1590,1226,6362
1591,3342,6366
1592,2404,6370
1593,1470,6374
1594,4786,6378
1595,1038,6382
1596,890,6386
1597,6390,6390
1598,1854,6394
1599,1390,6398
1600,840,6402
1601,6406,6406
1602,1638,6410
1603,3678,6414
1604,3216,6418
1605,1742,6422
1606,1942,6426
1607,6430,6430
1608,1388,6434
1609,6438,6438
1610,922,6442
1611,2166,6446
1612,1158,6450
1613,6454,6454
1614,2702,6458
1615,1006,6462
1616,1648,6466
1617,910,6470
1618,4858,6474
1619,6478,6478
1620,846,6482
1621,6486,6486
1622,4870,6490
1623,4334,6494
1624,982,6498
1625,1030,6502
1626,2722,6506
1627,6510,6510
1628,1198,6514
1629,2190,6518
1630,2302,6522
1631,3742,6526
1632,872,6530
1633,3454,6534
1634,1882,6538
1635,1774,6542
1636,3280,6546
1637,6550,6550
1638,850,6554
1639,3598,6558
1640,1146,6562
1641,4382,6566
1642,4930,6570
1643,3454,6574
1644,1942,6578
1645,1198,6582
1646,4942,6586
1647,1518,6590
1648,1680,6594
1649,3526,6598
1650,850,6602
1651,3582,6606
1652,1354,6610
1653,1390,6614
1654,4966,6618
1655,3982,6622
1656,926,6626
1657,6630,6630
1658,4978,6634
1659,1622,6638
1660,1534,6642
1661,3646,6646
1662,2782,6650
1663,6654,6654
1664,880,6658
1665,1126,6662
1666,910,6666
1667,6670,6670
1668,1970,6674
1669,6678,6678
1670,2358,6682
1671,4462,6686
1672,898,6690
1673,3838,6694
1674,1038,6698
1675,1390,6702
1676,3360,6706
1677,1454,6710
1678,5038,6714
1679,3550,6718
1680,856,6722
1681,3526,6726
1682,1914,6730
1683,878,6734
1684,3376,6738
1685,4054,6742
1686,2822,6746
1687,3870,6750
1688,2548,6754
1689,4510,6758
1690,858,6762
1691,3598,6766
1692,1200,6770
1693,6774,6774
1694,858,6778
1695,1838,6782
1696,1336,6786
1697,6790,6790
1698,2842,6794
1699,6798,6798
1700,880,6802
1701,918,6806
1702,1942,6810
1703,3694,6814
1704,1468,6818
1705,1102,6822
1706,5122,6826
1707,4558,6830
1708,1398,6834
1709,6838,6838
1710,902,6842
1711,3598,6846
1712,1744,6850
1713,4574,6854
1714,5146,6858
1715,1078,6862
1716,862,6866
1717,3670,6870
1718,5158,6874
1719,2310,6878
1720,1198,6882
1721,6886,6886
1722,1150,6890
1723,6894,6894
1724,3456,6898
1725,1070,6902
1726,5182,6906
1727,3790,6910
1728,864,6914
1729,942,6918
1730,2442,6922
1731,4622,6926
1732,3472,6930
1733,6934,6934
1734,986,6938
1735,4174,6942
1736,1042,6946
1737,2334,6950
1738,2098,6954
1739,3646,6958
1740,1048,6962
1741,6966,6966
1742,2062,6970
1743,1702,6974
1744,1776,6978
1745,4198,6982
1746,1782,6986
1747,6990,6990
1748,1210,6994
1749,1550,6998
1750,990,7002
1751,3742,7006
1752,1508,7010
1753,7014,7014
1754,5266,7018
1755,894,7022
1756,3520,7026
1757,4030,7030
1758,2942,7034
1759,7038,7038
1760,892,7042
1761,4702,7046
1762,5290,7050
1763,3694,7054
1764,896,7058
1765,4246,7062
1766,5302,7066
1767,1478,7070
1768,922,7074
1769,3718,7078
1770,1358,7082
1771,982,7086
1772,3552,7090
1773,2382,7094
1774,5326,7098
1775,1470,7102
1776,1132,7106
1777,7110,7110
1778,2314,7114
1779,4750,7118
1780,1642,7122
1781,3862,7126
1782,918,7130
1783,7134,7134
1784,2692,7138
1785,958,7142
1786,2050,7146
1787,7150,7150
1788,2110,7154
1789,7158,7158
1790,2526,7162
1791,2406,7166
1792,928,7170
1793,3934,7174
1794,1030,7178
1795,4318,7182
1796,3600,7186
1797,4798,7190
1798,2038,7194
1799,4126,7198
1800,900,7202
1801,7206,7206
1802,2082,7210
1803,4814,7214
1804,1318,7218
1805,1102,7222
1806,1202,7226
1807,3918,7230
1808,1840,7234
1809,1662,7238
1810,2554,7242
1811,7246,7246
1812,2138,7250
1813,1134,7254
1814,5446,7258
1815,902,7262
1816,2740,7266
1817,3838,7270
1818,1854,7274
1819,3886,7278
1820,904,7282
1821,4862,7286
1822,5470,7290
1823,7294,7294
1824,952,7298
1825,1510,7302
1826,2202,7306
1827,1054,7310
1828,3664,7314
1829,3838,7318
1830,1402,7322
1831,7326,7326
1832,2764,7330
1833,1582,7334
1834,2386,7338
1835,4414,7342
1836,930,7346
1837,4030,7350
1838,5518,7354
1839,4910,7358
1840,988,7362
1841,4222,7366
1842,3082,7370
1843,3918,7374
1844,3696,7378
1845,1238,7382
1846,2182,7386
1847,7390,7390
1848,908,7394
1849,3870,7398
1850,1210,7402
1851,4942,7406
1852,3712,7410
1853,3958,7414
1854,1890,7418
1855,1342,7422
1856,1056,7426
1857,4958,7430
1858,5578,7434
1859,910,7438
1860,1112,7442
1861,7446,7446
1862,994,7450
1863,990,7454
1864,2812,7458
1865,4486,7462
1866,3122,7466
1867,7470,7470
1868,3744,7474
1869,1822,7478
1870,934,7482
1871,7486,7486
1872,912,7490
1873,7494,7494
1874,5626,7498
1875,1150,7502
1876,1530,7506
1877,7510,7510
1878,3142,7514
1879,7518,7518
1880,1302,7522
1881,958,7526
1882,5650,7530
1883,4318,7534
1884,2222,7538
1885,1174,7542
1886,2142,7546
1887,1582,7550
1888,1480,7554
1889,7558,7558
1890,942,7562
1891,3966,7566
1892,1378,7570
1893,5054,7574
1894,5686,7578
1895,4558,7582
1896,1628,7586
1897,4350,7590
1898,2242,7594
1899,2550,7598
1900,960,7602
1901,7606,7606
1902,3182,7610
1903,4174,7614
1904,972,7618
1905,2062,7622
1906,5722,7626
1907,7630,7630
1908,1344,7634
1909,4030,7638
1910,2694,7642
1911,1022,7646
1912,2884,7650
1913,7654,7654
1914,1118,7658
1915,4606,7662
1916,3840,7666
1917,1758,7670
1918,2494,7674
1919,4078,7678
1920,944,7682
1921,4102,7686
1922,2170,7690
1923,5134,7694
1924,1362,7698
1925,1054,7702
1926,1962,7706
1927,4030,7710
1928,2908,7714
1929,5150,7718
1930,2722,7722
1931,7726,7726
1932,1042,7730
1933,7734,7734
1934,5806,7738
1935,1294,7742
1936,946,7746
1937,4198,7750
1938,1078,7754
1939,4446,7758
1940,1786,7762
1941,5182,7766
1942,5830,7770
1943,4078,7774
1944,972,7778
1945,4678,7782
1946,2530,7786
1947,1718,7790
1948,3904,7794
1949,7798,7798
1950,950,7802
1951,7806,7806
1952,1528,7810
1953,1118,7814
1954,5866,7818
1955,1182,7822
1956,2306,7826
1957,4158,7830
1958,2358,7834
1959,5230,7838
1960,952,7842
1961,4102,7846
1962,1998,7850
1963,4254,7854
1964,3936,7858
1965,2126,7862
1966,5902,7866
1967,4510,7870
1968,1244,7874
1969,4318,7878
1970,2778,7882
1971,1806,7886
1972,1354,7890
1973,7894,7894
1974,1306,7898
1975,1630,7902
1976,1006,7906
1977,5278,7910
1978,2242,7914
1979,7918,7918
1980,954,7922
1981,4542,7926
1982,5950,7930
1983,5294,7934
1984,1120,7938
1985,4774,7942
1986,3322,7946
1987,7950,7950
1988,1618,7954
1989,982,7958
1990,2806,7962
1991,4366,7966
1992,1708,7970
1993,7974,7974
1994,5986,7978
1995,1046,7982
1996,4000,7986
1997,7990,7990
1998,1218,7994
1999,7998,7998
2000,1000,8002
2001,1646,8006
2002,958,8010
2003,8014,8014
2004,2362,8018
2005,4822,8022
2006,2310,8026
2007,2694,8030
2008,3028,8034
2009,1246,8038
2010,1534,8042
2011,8046,8046
2012,4032,8050
2013,1774,8054
2014,2302,8058
2015,1246,8062
2016,960,8066
2017,8070,8070
2018,6058,8074
2019,5390,8078
2020,1858,8082
2021,4222,8086
2022,3382,8090
2023,1054,8094
2024,1050,8098
2025,990,8102
2026,6082,8106
2027,8110,8110
2028,962,8114
2029,8118,8118
2030,1126,8122
2031,5422,8126
2032,2064,8130
2033,4318,8134
2034,2070,8138
2035,1294,8142
2036,4080,8146
2037,1982,8150
2038,6118,8154
2039,8158,8158
2040,988,8162
2041,4422,8166
2042,6130,8170
2043,2742,8174
2044,1662,8178
2045,4918,8182
2046,1186,8186
2047,4318,8190
2048,1024,8194
2049,5470,8198
2050,1330,8202
2051,4702,8206
2052,1014,8210
2053,8214,8214
2054,2422,8218
2055,2222,8222
2056,3100,8226
2057,990,8230
2058,1078,8234
2059,4318,8238
2060,1894,8242
2061,2766,8246
2062,6190,8250
2063,8254,8254
2064,1300,8258
2065,1486,8262
2066,6202,8266
2067,1774,8270
2068,1498,8274
2069,8278,8278
2070,1054,8282
2071,4398,8286
2072,1222,8290
2073,5534,8294
2074,2386,8298
2075,1710,8302
2076,2446,8306
2077,4350,8310
2078,6238,8314
2079,1038,8318
2080,996,8322
2081,8326,8326
2082,3482,8330
2083,8334,8334
2084,4176,8338
2085,2254,8342
2086,2710,8346
2087,8350,8350
2088,1130,8354
2089,8358,8358
2090,1018,8362
2091,1742,8366
2092,4192,8370
2093,1102,8374
2094,3502,8378
2095,5038,8382
2096,2128,8386
2097,2814,8390
2098,6298,8394
2099,8398,8398
2100,1000,8402
2101,4606,8406
2102,6310,8410
2103,5614,8414
2104,3172,8418
2105,5062,8422
2106,1026,8426
2107,1302,8430
2108,1438,8434
2109,1742,8438
2110,2974,8442
2111,8446,8446
2112,1000,8450
2113,8454,8454
2114,2746,8458
2115,1406,8462
2116,1426,8466
2117,4438,8470
2118,3542,8474
2119,4590,8478
2120,1458,8482
2121,2062,8486
2122,6370,8490
2123,4654,8494
2124,1488,8498
2125,1270,8502
2126,6382,8506
2127,5678,8510
2128,1060,8514
2129,8518,8518
2130,1622,8522
2131,8526,8526
2132,1498,8530
2133,1950,8534
2134,2566,8538
2135,1534,8542
2136,1828,8546
2137,8550,8550
2138,6418,8554
2139,1750,8558
2140,1966,8562
2141,8566,8566
2142,1034,8570
2143,8574,8574
2144,1672,8578
2145,1006,8582
2146,2410,8586
2147,4558,8590
2148,2530,8594
2149,4926,8598
2150,1390,8602
2151,2886,8606
2152,3244,8610
2153,8614,8614
2154,3602,8618
2155,5182,8622
2156,1008,8626
2157,5758,8630
2158,2542,8634
2159,4606,8638
2160,1008,8642
2161,8646,8646
2162,2442,8650
2163,2102,8654
2164,4336,8658
2165,5206,8662
2166,1178,8666
2167,4750,8670
2168,3268,8674
2169,2910,8678
2170,1194,8682
2171,4702,8686
2172,2558,8690
2173,4534,8694
2174,6526,8698
2175,1310,8702
2176,1072,8706
2177,4990,8710
2178,1034,8714
2179,8718,8718
2180,2002,8722
2181,5822,8726
2182,6550,8730
2183,4558,8734
2184,1012,8738
2185,1294,8742
2186,6562,8746
2187,1134,8750
2188,4384,8754
2189,4798,8758
2190,1666,8762
2191,5022,8766
2192,2224,8770
2193,1822,8774
2194,6586,8778
2195,5278,8782
2196,1536,8786
2197,1014,8790
2198,2854,8794
2199,5870,8798
2200,1060,8802
2201,4606,8806
2202,3682,8810
2203,8814,8814
2204,1486,8818
2205,1134,8822
2206,6622,8826
2207,8830,8830
2208,1112,8834
2209,4606,8838
2210,1042,8842
2211,1942,8846
2212,1794,8850
2213,8854,8854
2214,1338,8858
2215,5326,8862
2216,3340,8866
2217,5918,8870
2218,6658,8874
2219,5086,8878
2220,1304,8882
2221,8886,8886
2222,2670,8890
2223,1070,8894
2224,2256,8898
2225,1830,8902
2226,1462,8906
2227,4750,8910
2228,4464,8914
2229,5950,8918
2230,3142,8922
2231,4702,8926
2232,1198,8930
2233,1198,8934
2234,6706,8938
2235,2414,8942
2236,1566,8946
2237,8950,8950
2238,3742,8954
2239,8958,8958
2240,1048,8962
2241,2046,8966
2242,2554,8970
2243,8974,8974
2244,1046,8978
2245,5398,8982
2246,6742,8986
2247,2182,8990
2248,3388,8994
2249,4870,8998
2250,1050,9002
2251,9006,9006
2252,4512,9010
2253,6014,9014
2254,1162,9018
2255,1422,9022
2256,1412,9026
2257,4710,9030
2258,6778,9034
2259,3030,9038
2260,2074,9042
2261,1150,9046
2262,1258,9050
2263,4734,9054
2264,3412,9058
2265,2446,9062
2266,2722,9066
2267,9070,9070
2268,1080,9074
2269,9078,9078
2270,3198,9082
2271,6062,9086
2272,1768,9090
2273,9094,9094
2274,3802,9098
2275,1182,9102
2276,4560,9106
2277,1118,9110
2278,2614,9114
2279,4750,9118
2280,1076,9122
2281,9126,9126
2282,2962,9130
2283,6094,9134
2284,4576,9138
2285,5494,9142
2286,2322,9146
2287,9150,9150
2288,1054,9154
2289,2222,9158
2290,3226,9162
2291,4798,9166
2292,2698,9170
2293,9174,9174
2294,2566,9178
2295,1086,9182
2296,1342,9186
2297,9190,9190
2298,3842,9194
2299,1078,9198
2300,1120,9202
2301,1966,9206
2302,6910,9210
2303,1414,9214
2304,1056,9218
2305,5542,9222
2306,6922,9226
2307,6158,9230
2308,4624,9234
2309,9238,9238
2310,1058,9242
2311,9246,9246
2312,1122,9250
2313,3102,9254
2314,2722,9258
2315,5566,9262
2316,2726,9266
2317,5310,9270
2318,2638,9274
2319,6190,9278
2320,1204,9282
2321,5086,9286
2322,1398,9290
2323,4894,9294
2324,1882,9298
2325,1390,9302
2326,6982,9306
2327,5038,9310
2328,1988,9314
2329,4966,9318
2330,3282,9322
2331,1310,9326
2332,1678,9330
2333,9334,9334
2334,3902,9338
2335,5614,9342
2336,1816,9346
2337,1918,9350
2338,3034,9354
2339,9358,9358
2340,1062,9362
2341,9366,9366
2342,7030,9370
2343,2054,9374
2344,3532,9378
2345,1678,9382
2346,1262,9386
2347,9390,9390
2348,4704,9394
2349,1206,9398
2350,1510,9402
2351,9406,9406
2352,1064,9410
2353,5094,9414
2354,2826,9418
2355,2542,9422
2356,1578,9426
2357,9430,9430
2358,2394,9434
2359,5406,9438
2360,1614,9442
2361,6302,9446
2362,7090,9450
2363,5038,9454
2364,2782,9458
2365,1486,9462
2366,1066,9466
2367,3174,9470
2368,1312,9474
2369,4990,9478
2370,1798,9482
2371,9486,9486
2372,4752,9490
2373,2302,9494
2374,7126,9498
2375,1390,9502
2376,1092,9506
2377,9510,9510
2378,2658,9514
2379,2030,9518
2380,1096,9522
2381,9526,9526
2382,3982,9530
2383,9534,9534
2384,2416,9538
2385,1574,9542
2386,7162,9546
2387,1270,9550
2388,2810,9554
2389,9558,9558
2390,3366,9562
2391,6382,9566
2392,1174,9570
2393,9574,9574
2394,1126,9578
2395,5758,9582
2396,4800,9586
2397,1982,9590
2398,2878,9594
2399,9598,9598
2400,1100,9602
2401,1470,9606
2402,7210,9610
2403,2190,9614
2404,4816,9618
2405,1462,9622
2406,4022,9626
2407,5038,9630
2408,1402,9634
2409,2110,9638
2410,3394,9642
2411,9646,9646
2412,1680,9650
2413,5118,9654
2414,2766,9658
2415,1222,9662
2416,2448,9666
2417,9670,9670
2418,1334,9674
2419,5038,9678
2420,1122,9682
2421,3246,9686
2422,3142,9690
2423,9694,9694
2424,2068,9698
2425,1990,9702
2426,7282,9706
2427,6478,9710
2428,4864,9714
2429,5566,9718
2430,1134,9722
2431,1102,9726
2432,1168,9730
2433,6494,9734
2434,7306,9738
2435,5854,9742
2436,1270,9746
2437,9750,9750
2438,2742,9754
2439,3270,9758
2440,1666,9762
2441,9766,9766
2442,1390,9770
2443,5598,9774
2444,1702,9778
2445,2638,9782
2446,7342,9786
2447,9790,9790
2448,1104,9794
2449,5118,9798
2450,1246,9802
2451,2006,9806
2452,4912,9810
2453,5374,9814
2454,4102,9818
2455,5902,9822
2456,3700,9826
2457,1158,9830
2458,7378,9834
2459,9838,9838
2460,1432,9842
2461,5182,9846
2462,7390,9850
2463,6574,9854
2464,1108,9858
2465,1446,9862
2466,2502,9866
2467,9870,9870
2468,4944,9874
2469,6590,9878
2470,1134,9882
2471,5662,9886
2472,2108,9890
2473,9894,9894
2474,7426,9898
2475,1110,9902
2476,4960,9906
2477,9910,9910
2478,1618,9914
2479,5166,9918
2480,1276,9922
2481,6622,9926
2482,2842,9930
2483,5374,9934
2484,1182,9938
2485,1774,9942
2486,2982,9946
2487,6638,9950
2488,3748,9954
2489,5278,9958
2490,1886,9962
2491,5182,9966
2492,2014,9970
2493,3342,9974
2494,2782,9978
2495,5998,9982
2496,1112,9986
2497,5470,9990
2498,7498,9994
2499,1246,9998
2500,1200,10002
2501,5206,10006
2502,2538,10010
2503,10014,10014
2504,3772,10018
2505,2702,10022
2506,3250,10026
2507,5278,10030
2508,1138,10034
2509,5430,10038
2510,3534,10042
2511,1278,10046
2512,2544,10050
2513,5758,10054
2514,4202,10058
2515,6046,10062
2516,1690,10066
2517,6718,10070
2518,7558,10074
2519,5518,10078
2520,1116,10082
2521,10086,10086
2522,2962,10090
2523,2030,10094
2524,5056,10098
2525,2070,10102
2526,4222,10106
2527,1254,10110
2528,1960,10114
2529,3390,10118
2530,1186,10122
2531,10126,10126
2532,2978,10130
2533,5398,10134
2534,3286,10138
2535,1118,10142
2536,3820,10146
2537,5278,10150
2538,1518,10154
2539,10158,10158
2540,2326,10162
2541,1166,10166
2542,2830,10170
2543,10174,10174
2544,1580,10178
2545,6118,10182
2546,2890,10186
2547,3414,10190
2548,1120,10194
2549,10198,10198
2550,1150,10202
2551,10206,10206
2552,1278,10210
2553,2062,10214
2554,7666,10218
2555,1822,10222
2556,1776,10226
2557,10230,10230
2558,7678,10234
2559,6830,10238
2560,1152,10242
2561,5542,10246
2562,1670,10250
2563,5614,10254
2564,5136,10258
2565,1182,10262
2566,7702,10266
2567,5470,10270
2568,2188,10274
2569,5886,10278
2570,3618,10282
2571,6862,10286
2572,5152,10290
2573,5374,10294
2574,1150,10298
2575,2110,10302
2576,1236,10306
2577,6878,10310
2578,7738,10314
2579,10318,10318
2580,1496,10322
2581,5398,10326
2582,7750,10330
2583,1438,10334
2584,1222,10338
2585,1614,10342
2586,4322,10346
2587,5598,10350
2588,5184,10354
2589,6910,10358
2590,1398,10362
2591,10366,10366
2592,1152,10370
2593,10374,10374
2594,7786,10378
2595,2798,10382
2596,1858,10386
2597,1582,10390
2598,4342,10394
2599,5470,10398
2600,1180,10402
2601,1190,10406
2602,7810,10410
2603,5518,10414
2604,1346,10418
2605,6262,10422
2606,7822,10426
2607,2278,10430
2608,2640,10434
2609,10438,10438
2610,1282,10442
2611,5982,10446
2612,5232,10450
2613,2222,10454
2614,7846,10458
2615,6286,10462
2616,2228,10466
2617,10470,10470
2618,1158,10474
2619,2382,10478
2620,2398,10482
2621,10486,10486
2622,1378,10490
2623,5454,10494
2624,1440,10498
2625,1310,10502
2626,3082,10506
2627,5470,10510
2628,1824,10514
2629,5758,10518
2630,3702,10522
2631,7022,10526
2632,1522,10530
2633,10534,10534
2634,4402,10538
2635,1534,10542
2636,5280,10546
2637,3534,10550
2638,7918,10554
2639,1342,10558
2640,1162,10562
2641,5598,10566
2642,7930,10570
2643,7054,10574
2644,5296,10578
2645,1518,10582
2646,1218,10586
2647,10590,10590
2648,3988,10594
2649,7070,10598
2650,1690,10602
2651,5806,10606
2652,1162,10610
2653,6078,10614
2654,7966,10618
2655,1742,10622
2656,2056,10626
2657,10630,10630
2658,4442,10634
2659,10638,10638
2660,1192,10642
2661,7102,10646
2662,1210,10650
2663,10654,10654
2664,1402,10658
2665,1606,10662
2666,2962,10666
2667,2582,10670
2668,1750,10674
2669,5686,10678
2670,2018,10682
2671,10686,10686
2672,2704,10690
2673,1278,10694
2674,3466,10698
2675,2190,10702
2676,3146,10706
2677,10710,10710
2678,3142,10714
2679,2182,10718
2680,1822,10722
2681,6142,10726
2682,2718,10730
2683,10734,10734
2684,1918,10738
2685,2894,10742
2686,3070,10746
2687,10750,10750
2688,1168,10754
2689,10758,10758
2690,3786,10762
2691,1246,10766
2692,5392,10770
2693,10774,10774
2694,4502,10778
2695,1414,10782
2696,4060,10786
2697,2158,10790
2698,3058,10794
2699,10798,10798
2700,1170,10802
2701,5622,10806
2702,3502,10810
2703,2222,10814
2704,1170,10818
2705,6502,10822
2706,1526,10826
2707,10830,10830
2708,5424,10834
2709,1502,10838
2710,3814,10842
2711,10846,10846
2712,2308,10850
2713,10854,10854
2714,3042,10858
2715,2926,10862
2716,2190,10866
2717,1198,10870
2718,2754,10874
2719,10878,10878
2720,1204,10882
2721,7262,10886
2722,8170,10890
2723,6238,10894
2724,3202,10898
2725,2230,10902
2726,3030,10906
2727,2478,10910
2728,1354,10914
2729,10918,10918
2730,1174,10922
2731,10926,10926
2732,5472,10930
2733,7294,10934
2734,8206,10938
2735,6574,10942
2736,1200,10946
2737,1342,10950
2738,3034,10954
2739,2390,10958
2740,2506,10962
2741,10966,10966
2742,4582,10970
2743,5934,10974
2744,1176,10978
2745,1798,10982
2746,8242,10986
2747,5710,10990
2748,3230,10994
2749,10998,10998
2750,1270,11002
2751,2662,11006
2752,1504,11010
2753,11014,11014
2754,1242,11018
2755,1582,11022
2756,1906,11026
2757,7358,11030
2758,3574,11034
2759,5758,11038
2760,1252,11042
2761,6046,11046
2762,8290,11050
2763,3702,11054
2764,5536,11058
2765,1966,11062
2766,4622,11066
2767,11070,11070
2768,2800,11074
2769,2350,11078
2770,3898,11082
2771,5902,11086
2772,1208,11090
2773,5758,11094
2774,3142,11098
2775,1630,11102
2776,4180,11106
2777,11110,11110
2778,4642,11114
2779,6366,11118
2780,2542,11122
2781,2526,11126
2782,3262,11130
2783,1254,11134
2784,1352,11138
2785,6694,11142
2786,3610,11146
2787,7438,11150
2788,1858,11154
2789,11158,11158
2790,1358,11162
2791,11166,11166
2792,4204,11170
2793,1358,11174
2794,3346,11178
2795,1678,11182
2796,3286,11186
2797,11190,11190
2798,8398,11194
2799,3750,11198
2800,1240,11202
2801,11206,11206
2802,4682,11210
2803,11214,11214
2804,5616,11218
2805,1214,11222
2806,3142,11226
2807,6430,11230
2808,1212,11234
2809,5830,11238
2810,3954,11242
2811,7502,11246
2812,1854,11250
2813,5878,11254
2814,1826,11258
2815,6766,11262
2816,1216,11266
2817,3774,11270
2818,8458,11274
2819,11278,11278
2820,1624,11282
2821,1422,11286
2822,3222,11290
2823,7534,11294
2824,4252,11298
2825,2310,11302
2826,2862,11306
2827,6190,11310
2828,2278,11314
2829,2270,11318
2830,3982,11322
2831,5998,11326
2832,1748,11330
2833,11334,11334
2834,3322,11338
2835,1278,11342
2836,5680,11346
2837,11350,11350
2838,1594,11354
2839,6046,11358
2840,1926,11362
2841,7582,11366
2842,1414,11370
2843,11374,11374
2844,1968,11378
2845,6838,11382
2846,8542,11386
2847,2414,11390
2848,2200,11394
2849,1486,11398
2850,1250,11402
2851,11406,11406
2852,1858,11410
2853,3822,11414
2854,8566,11418
2855,6862,11422
2856,1220,11426
2857,11430,11430
2858,8578,11434
2859,7630,11438
2860,1246,11442
2861,11446,11446
2862,1698,11450
2863,6558,11454
2864,2896,11458
2865,3086,11462
2866,8602,11466
2867,5950,11470
2868,3370,11474
2869,6078,11478
2870,1534,11482
2871,1358,11486
2872,4324,11490
2873,1222,11494
2874,4802,11498
2875,1630,11502
2876,5760,11506
2877,2782,11510
2878,8638,11514
2879,11518,11518
2880,1224,11522
2881,5982,11526
2882,3450,11530
2883,2294,11534
2884,2322,11538
2885,6934,11542
2886,1562,11546
2887,11550,11550
2888,1330,11554
2889,2622,11558
2890,1258,11562
2891,1750,11566
2892,3398,11570
2893,6334,11574
2894,8686,11578
2895,3118,11582
2896,2928,11586
2897,11590,11590
2898,1310,11594
2899,6270,11598
2900,1360,11602
2901,7742,11606
2902,8710,11610
2903,11614,11614
2904,1276,11618
2905,2062,11622
2906,8722,11626
2907,1294,11630
2908,5824,11634
2909,11638,11638
2910,2194,11642
2911,6046,11646
2912,1228,11650
2913,7774,11654
2914,3226,11658
2915,1806,11662
2916,1296,11666
2917,11670,11670
2918,8758,11674
2919,2822,11678
2920,1978,11682
2921,6142,11686
2922,4882,11690
2923,6078,11694
2924,1942,11698
2925,1230,11702
2926,1258,11706
2927,11710,11710
2928,1804,11714
2929,6118,11718
2930,4122,11722
2931,7822,11726
2932,5872,11730
2933,6718,11734
2934,2970,11738
2935,7054,11742
2936,4420,11746
2937,2558,11750
2938,3442,11754
2939,11758,11758
2940,1232,11762
2941,6262,11766
2942,8830,11770
2943,2670,11774
2944,1360,11778
2945,1678,11782
2946,4922,11786
2947,6750,11790
2948,2098,11794
2949,7870,11798
2950,1870,11802
2951,6382,11806
2952,1538,11810
2953,11814,11814
2954,3826,11818
2955,3182,11822
2956,5920,11826
2957,11830,11830
2958,1538,11834
2959,6478,11838
2960,1492,11842
2961,1630,11846
2962,8890,11850
2963,11854,11854
2964,1262,11858
2965,7126,11862
2966,8902,11866
2967,2374,11870
2968,1702,11874
2969,11878,11878
2970,1266,11882
2971,11886,11886
2972,5952,11890
2973,7934,11894
2974,8926,11898
2975,1438,11902
2976,1432,11906
2977,6438,11910
2978,8938,11914
2979,3990,11918
2980,2722,11922
2981,6526,11926
2982,1930,11930
2983,6318,11934
2984,4492,11938
2985,3214,11942
2986,8962,11946
2987,6238,11950
2988,2064,11954
2989,1806,11958
2990,1318,11962
2991,7982,11966
2992,1270,11970
2993,6214,11974
2994,5002,11978
2995,7198,11982
2996,2410,11986
2997,1494,11990
2998,8998,11994
2999,11998,11998
